"100 Mph","#c93f38","100 mph"
"All Dressed Up","#e6999d","all dressed up"
"All Made Up","#efd7e7","all made up"
"All Nighter","#455454","all nighter"
"All the Leaves Are Brown","#994411","all the leaves are brown"
"Allegiance","#5a6a8c","allegiance"
"Allegory","#b4b2a9","allegory"
"Allegro","#b28959","allegro"
"Alley Cat","#656874","alley cat"
"Alley","#b8c4d9","alley"
"Alliance","#2b655f","alliance"
"Alligator Egg","#eaeed7","alligator egg"
"Alligator Gladiator","#444411","alligator gladiator"
"Alligator Scales","#646048","alligator scales"
"Alligator","#886600","alligator"
"Allison Lace","#f1ead4","allison lace"
"Allium","#9569a3","allium"
"Alloy Orange","#c46210","alloy orange"
"Alloy","#908f92","alloy"
"Allports","#1f6a7d","allports"
"Allspice Berry","#8e443d","allspice berry"
"Allspice","#f8cdaa","allspice"
"Allura Red","#ed2e38","allura red"
"Allure","#7291b4","allure"
"Alluring Blue","#9ec4cd","alluring blue"
"Alluring Gesture","#f8dbc2","alluring gesture"
"Alluring Light","#fff7d8","alluring light"
"Alluring Umber","#977b4d","alluring umber"
"Alluring White","#efe1d2","alluring white"
"Alluvial Inca","#bb934b","alluvial inca"
"Allyson","#cb738b","allyson"
"All’s Ace","#c68886","all’s ace"
"Almanac","#e8dec9","almanac"
"Almandine","#c2a37e","almandine"
"Almeja","#f5e0c9","almeja"
"Almendra Tostada","#e8d6bd","almendra tostada"
"Almond Beige","#dfd5ca","almond beige"
"Almond Biscuit","#e9c9a9","almond biscuit"
"Almond Blossom Pink","#e0d2d1","almond blossom pink"
"Almond Blossom","#f2acb8","almond blossom"
"Almond Brittle","#e5d3b9","almond brittle"
"Almond Buff","#ccb590","almond buff"
"Almond Butter","#d8c6a8","almond butter"
"Almond Cookie","#eec87c","almond cookie"
"Almond Cream","#f4c29f","almond cream"
"Almond Frost","#9a8678","almond frost"
"Almond Green","#595e4c","almond green"
"Almond Icing","#efe3d9","almond icing"
"Almond Kiss","#f6e3d4","almond kiss"
"Almond Latte","#d6c0a4","almond latte"
"Almond Milk","#d2c9b8","almond milk"
"Almond Oil","#f4efc1","almond oil"
"Almond Paste","#e5dbc5","almond paste"
"Almond Roca","#f0e8e0","almond roca"
"Almond Rose","#cc8888","almond rose"
"Almond Silk","#e1cfb2","almond silk"
"Almond Toast","#bf9e77","almond toast"
"Almond Truffle","#7d665b","almond truffle"
"Almond Willow","#e6c9bc","almond willow"
"Almond Wisp","#d6cab9","almond wisp"
"Almond","#eddcc8","almond"
"Almondine","#fedebc","almondine"
"Almost Aloe","#bfe5b1","almost aloe"
"Almost Apricot","#e0a787","almost apricot"
"Almost Aqua","#98ddc5","almost aqua"
"Almost Famous","#3a5457","almost famous"
"Almost Mauve","#e5d9d6","almost mauve"
"Almost Pink","#f0e3da","almost pink"
"Almost Plum","#beb0c2","almost plum"
"Almost Royal","#6a2ded","almost royal"
"Aloe Blossom","#c97863","aloe blossom"
"Aloe Cream","#dbe5b9","aloe cream"
"Aloe Essence","#ecf1e2","aloe essence"
"Aloe Leaf","#61643f","aloe leaf"
"Aloe Mist","#dcf2e3","aloe mist"
"Aloe Nectar","#dfe2c9","aloe nectar"
"Aloe Plant","#b8ba87","aloe plant"
"Aloe Thorn","#888b73","aloe thorn"
"Aloe Tip","#8a9480","aloe tip"
"Aloe Vera Green","#7e9b39","aloe vera green"
"Aloe Vera Tea","#848b71","aloe vera tea"
"Aloe Vera","#678779","aloe vera"
"Aloe Wash","#d0d3b7","aloe wash"
"Aloe","#817a60","aloe"
"Aloeswood","#6a432d","aloeswood"
"Aloha Sunset","#e9aa91","aloha sunset"
"Aloha","#1db394","aloha"
"Alone in the Dark","#000066","alone in the dark"
"Aloof Grey","#c9c9c0","aloof grey"
"Aloof Lama","#d6c5a0","aloof lama"
"Aloof","#d4e2e6","aloof"
"Alpaca Blanket","#ded7c5","alpaca blanket"
"Alpaca Wool","#f9ede2","alpaca wool"
"Alpaca","#f7e5da","alpaca"
"Alpenglow","#f0beb8","alpenglow"
"Alpha Blue","#588bb4","alpha blue"
"Alpha Centauri","#4d5778","alpha centauri"
"Alpha Gold","#ae8e5f","alpha gold"
"Alpha Male","#715a45","alpha male"
"Alpha Tango","#628fb0","alpha tango"
"Alphabet Blue","#abcdef","alphabet blue"
"Alpine Air","#a9b4a9","alpine air"
"Alpine Alabaster","#badbe6","alpine alabaster"
"Alpine Berry Yellow","#f7e0ba","alpine berry yellow"
"Alpine Blue","#dbe4e5","alpine blue"
"Alpine Duck Grey","#40464d","alpine duck grey"
"Alpine Expedition","#99eeff","alpine expedition"
"Alpine Frost","#e0ded2","alpine frost"
"Alpine Goat","#f1f2f8","alpine goat"
"Alpine Green","#005f50","alpine green"
"Alpine Haze","#abbec0","alpine haze"
"Alpine Herbs","#449955","alpine herbs"
"Alpine Lake Green","#4f603e","alpine lake green"
"Alpine Landing","#117b87","alpine landing"
"Alpine Meadow","#6aae2e","alpine meadow"
"Alpine Moon","#ded3e6","alpine moon"
"Alpine Morning Blue","#a6ccd8","alpine morning blue"
"Alpine Race","#234162","alpine race"
"Alpine Salamander","#051009","alpine salamander"
"Alpine Sky","#79b4ce","alpine sky"
"Alpine Summer","#a5a99a","alpine summer"
"Alpine Trail","#515a52","alpine trail"
"Alpine","#ad8a3b","alpine"
"Alright Then I Became a Princess","#ffaaa5","alright then i became a princess"
"Alsike Clover Red","#b1575f","alsike clover red"
"Alsot Olive","#dfd5b1","alsot olive"
"Altar of Heaven","#4d4c80","altar of heaven"
"Altdorf Guard Blue","#1f56a7","altdorf guard blue"
"Altdorf Sky Blue","#00a1ac","altdorf sky blue"
"Alter Ego","#69656d","alter ego"
"Altered Pink","#efc7be","altered pink"
"Alto","#cdc6c5","alto"
"Alu Gobi","#ddbb00","alu gobi"
"Alucard’s Night","#000055","alucard’s night"
"Aluminium Powder","#a9a0a9","aluminium powder"
"Aluminium Snow","#aeafb4","aluminium snow"
"Aluminium","#848789","aluminium"
"Aluminum Foil","#d2d9db","aluminum foil"
"Aluminum Silver","#8c8d91","aluminum silver"
"Aluminum Sky","#adafaf","aluminum sky"
"Aluminum","#968c7b","aluminum"
"Alverda","#a5c970","alverda"
