"green brown","#544e03","green brown"
"green grey","#77926f","green grey"
"green teal","#0cb577","green teal"
"green yellow","#c9ff27","green yellow"
"green","#15b01a","green"
"green/blue","#01c08d","green/blue"
"green/yellow","#b5ce08","green/yellow"
"greenblue","#23c48b","greenblue"
"greenish beige","#c9d179","greenish beige"
"greenish blue","#0b8b87","greenish blue"
"greenish brown","#696112","greenish brown"
"greenish cyan","#2afeb7","greenish cyan"
"greenish grey","#96ae8d","greenish grey"
"greenish tan","#bccb7a","greenish tan"
"greenish teal","#32bf84","greenish teal"
"greenish turquoise","#00fbb0","greenish turquoise"
"greenish yellow","#cdfd02","greenish yellow"
"greenish","#40a368","greenish"
"greeny blue","#42b395","greeny blue"
"greeny brown","#696006","greeny brown"
"greeny grey","#7ea07a","greeny grey"
"greeny yellow","#c6f808","greeny yellow"
"grey blue","#6b8ba4","grey blue"
"grey brown","#7f7053","grey brown"
"grey green","#789b73","grey green"
"grey pink","#c3909b","grey pink"
"grey purple","#826d8c","grey purple"
"grey teal","#5e9b8a","grey teal"
"grey","#929591","grey"
"grey/blue","#647d8e","grey/blue"
"grey/green","#86a17d","grey/green"
"greyblue","#77a1b5","greyblue"
"greyish blue","#5e819d","greyish blue"
"greyish brown","#7a6a4f","greyish brown"
"greyish green","#82a67d","greyish green"
"greyish pink","#c88d94","greyish pink"
"greyish purple","#887191","greyish purple"
"greyish teal","#719f91","greyish teal"
"greyish","#a8a495","greyish"
"gross green","#a0bf16","gross green"
"gunmetal","#536267","gunmetal"
"hazel","#8e7618","hazel"
"heather","#a484ac","heather"
"heliotrope","#d94ff5","heliotrope"
"highlighter green","#1bfc06","highlighter green"
"hospital green","#9be5aa","hospital green"
"hot green","#25ff29","hot green"
"hot magenta","#f504c9","hot magenta"
"hot pink","#ff028d","hot pink"
"hot purple","#cb00f5","hot purple"
"hunter green","#0b4008","hunter green"
"ice blue","#d7fffe","ice blue"
"ice","#d6fffa","ice"
"icky green","#8fae22","icky green"
"indian red","#850e04","indian red"
"indigo blue","#3a18b1","indigo blue"
"indigo","#380282","indigo"
"iris","#6258c4","iris"
"irish green","#019529","irish green"
"ivory","#ffffcb","ivory"
"jade green","#2baf6a","jade green"
"jade","#1fa774","jade"
"jungle green","#048243","jungle green"
"kelley green","#009337","kelley green"
"kelly green","#02ab2e","kelly green"
"kermit green","#5cb200","kermit green"
"key lime","#aeff6e","key lime"
"khaki green","#728639","khaki green"
"khaki","#aaa662","khaki"
"kiwi green","#8ee53f","kiwi green"
"kiwi","#9cef43","kiwi"
"lavender blue","#8b88f8","lavender blue"
"lavender pink","#dd85d7","lavender pink"
"lavender","#c79fef","lavender"
"lawn green","#4da409","lawn green"
"leaf green","#5ca904","leaf green"
"leaf","#71aa34","leaf"
"leafy green","#51b73b","leafy green"
"leather","#ac7434","leather"
"lemon green","#adf802","lemon green"
"lemon lime","#bffe28","lemon lime"
"lemon yellow","#fdff38","lemon yellow"
"lemon","#fdff52","lemon"
"lichen","#8fb67b","lichen"
"light aqua","#8cffdb","light aqua"
"light aquamarine","#7bfdc7","light aquamarine"
"light beige","#fffeb6","light beige"
"light blue green","#7efbb3","light blue green"
"light blue grey","#b7c9e2","light blue grey"
"light blue","#95d0fc","light blue"
"light bluish green","#76fda8","light bluish green"
